INFO 1736944798,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database tt 
INFO 1736944798,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736944798,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736944798,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in 
INFO 1736944798,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in in 
INFO 1736944802,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736944802,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736944802,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736944802,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
INFO 1736944802,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database tt 
INFO 1736944802,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736944802,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736944802,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in 
INFO 1736944811,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736944811,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736944811,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736944811,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
INFO 1736944811,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database tt 
INFO 1736944811,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736944811,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736944811,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in 
INFO 1736944811,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in table2 
INFO 1736944820,at D:\work\furinadb\furinadb\src\database\bufferpool.cpp, in line 64, saving all pages 
INFO 1736944820,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in in 
INFO 1736944820,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in table2 
INFO 1736944820,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736944820,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736944820,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736944820,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
INFO 1736944832,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database tt 
INFO 1736944832,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736944832,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736944832,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in 
INFO 1736944833,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736944833,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736944833,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736944833,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
INFO 1736944833,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database tt 
INFO 1736944833,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736944833,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736944833,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in 
INFO 1736944833,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in in 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 115, insert into table in in page 1 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in_a 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 108, load page 0 in in_a 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database tt 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736944858,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in 
INFO 1736944861,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736944861,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736944861,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736944861,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
INFO 1736944861,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 67, load database tt 
INFO 1736944861,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table1 
INFO 1736944861,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table table2 
INFO 1736944861,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 97, load table in 
INFO 1736944863,at D:\work\furinadb\furinadb\src\database\bufferpool.cpp, in line 64, saving all pages 
INFO 1736944863,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in in 
INFO 1736944863,at D:\work\furinadb\furinadb\src\database\page.cpp, in line 41, save page 0 in in_a 
INFO 1736944863,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table1 
INFO 1736944863,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table table2 
INFO 1736944863,at D:\work\furinadb\furinadb\src\database\table.cpp, in line 74, save table in 
INFO 1736944863,at D:\work\furinadb\furinadb\src\database\database.cpp, in line 63, close database tt 
